Metabolite	Mean ± SD (µmol/L)	Median	Inter-quartile Range	Extreme values	LLOQ	% ND
PC ae C36:0	0.79±0.21	0.76	[0.64;0.91]	(0.19;1.77)	0.05	0
PC ae C36:1	9.75±2.27	9.47	[8.12;11.13]	(4.61;19.26)	0.03	0
PC ae C36:2	16.8±3.54	16.5	[14.2;18.9]	(7.69;28.6)	0.03	0
PC ae C36:3	8.59±1.90	8.32	[7.27;9.64]	(4.14;16.78)	1	0
PC ae C36:4	20.7±4.81	20.0	[17.2;23.3]	(10.3;39.4)	0.02	0
PC ae C36:5	14.5±3.78	14.2	[11.9;16.6]	(6.44;32.2)	5	0
PC ae C38:0	2.55±0.81	2.46	[1.97;2.99]	(0.98;7.94)	0.08	0
PC ae C38:1	0.80±0.38	0.73	[0.58;0.91]	(0.05;3.52)	2	0
PC ae C38:2	2.00±0.60	1.95	[1.60;2.32]	(0.35;4.67)	3	0
PC ae C38:3	4.46±1.00	4.33	[3.74;5.02]	(2.42;9.80)	5	0
PC ae C38:4	14.9±2.96	14.5	[12.9;16.7]	(7.51;26.5)	0.01	0
PC ae C38:5	19.3±3.87	19.0	[16.5;21.4]	(11.1;32.5)	5	0
PC ae C38:6	8.90±2.29	8.73	[7.27;10.10]	(3.68;18.53)	1	0
PC ae C40:1	1.45±0.34	1.41	[1.21;1.66]	(0.55;2.71)	6	0
PC ae C40:2	2.18±0.55	2.12	[1.78;2.49]	(0.97;4.68)	5	0
PC ae C40:3	1.16±0.25	1.12	[0.98;1.29]	(0.66;2.73)	2	0
PC ae C40:4	2.40±0.49	2.35	[2.06;2.66]	(1.25;4.37)	0.04	0
PC ae C40:5	3.74±0.74	3.67	[3.24;4.16]	(1.95;7.49)	2	0
PC ae C40:6	5.40±1.29	5.23	[4.51;6.23]	(2.25;10.45)	2	0
PC ae C42:0	ND	ND	ND	(ND;1.92)	0.48	85
PC ae C42:1	0.34±0.07	0.33	[0.29;0.38]	(ND;0.59)	0.07	1
PC ae C42:2	0.64±0.14	0.62	[0.54;0.72]	(0.31;1.14)	8	0
PC ae C42:3	0.84±0.18	0.81	[0.71;0.95]	(0.44;1.48)	3	0
PC ae C42:4	0.92±0.21	0.90	[0.77;1.04]	(0.40;1.84)	1	0
PC ae C42:5	2.19±0.44	2.16	[1.90;2.42]	(1.12;4.59)	0.54	0
PC ae C44:3	0.12±0.03	0.11	[0.10;0.14]	(0.05;0.24)	0.02	0
PC ae C44:4	0.39±0.09	0.38	[0.33;0.45]	(0.18;0.86)	0.05	0
PC ae C44:5	1.92±0.45	1.88	[1.62;2.19]	(0.84;4.33)	0.08	0
PC ae C44:6	1.32±0.32	1.29	[1.09;1.50]	(0.58;2.92)	0.02	0
SM (OH) C14:1	7.11±1.74	6.90	[5.82;8.16]	(3.27;14.76)	1	0
SM (OH) C16:1	4.10±0.96	3.99	[3.43;4.74]	(2.06;7.06)	1	0
SM (OH) C22:1	15.3±3.55	15.1	[12.8;17.6]	(6.18;28.2)	9	0
SM (OH) C22:2	14.1±3.42	13.6	[11.6;16.2]	(6.84;26.2)	1	0
SM (OH) C24:1	1.56±0.40	1.51	[1.26;1.80]	(0.70;3.57)	1	0
SM C16:0	114.4±19.7	113.9	[100.2;126.2]	(70.1;178.7)	0.01	0
SM C16:1	16.6±3.36	16.3	[14.0;18.6]	(8.33;31.6)	0.01	0
SM C18:0	23.8±5.28	23.4	[20.1;26.7]	(10.5;46.2)	0.01	0
SM C18:1	11.0±2.56	10.7	[9.23;12.6]	(5.07;23.9)	1	0
SM C20:2	0.35±0.11	0.34	[0.27;0.41]	(0.07;0.94)	1	0
SM C22:3	ND	ND	ND	ND	1	100
SM C24:0	22.0±4.73	21.7	[18.7;24.8]	(9.01;45.3)	0.07	0
SM C24:1	57.1±11.7	56.2	[48.8;63.7]	(28.4;104.0)	0.01	0
SM C26:0	0.23±0.07	0.23	[0.19;0.27]	(0.07;0.57)	1	0
SM C26:1	0.47±0.13	0.46	[0.38;0.54]	(0.20;1.18)	1	0
